"","Sampling_date","Station_temp","X"
"1",2023-06-07,22.5,NA
"2",2023-06-15,24.9,NA
"3",2023-06-20,24.8,NA
"4",2023-06-29,26.4,NA
"5",2023-07-03,25.7,NA
"6",2023-07-14,27.8,NA
"7",2023-07-18,29,NA
"8",2023-07-26,24.5,NA
"9",2023-08-01,27.5,NA
"10",2023-08-07,24.4,NA
"11",2023-08-16,26.8,NA
"12",2023-08-24,30.8,NA
"13",2023-08-31,24.4,NA
"14",2023-09-07,24.3,NA
"15",2023-09-14,24.9,NA
"16",2023-09-21,24.1,NA
"17",2023-09-27,23.6,NA
"18",2023-10-10,23.3,NA
"19",2023-10-23,22.5,NA
"20",2023-10-27,20.3,NA
"21",2023-11-03,15.2,NA
"22",2023-11-09,15,NA
"23",2023-11-15,17.8,NA
"24",2023-11-23,14.2,NA
"25",2023-11-30,17.5,NA
"26",2023-12-05,11.9,NA
"27",2023-12-12,17.2,NA
