Date,Plot,Rep,Treat,Area_m2,Total_weight_kg,Moist_perc,Yield_kgha,Yield_BagsJournal,Weight_loss_perc,Weight_loss_kg,Yield_kgha_14perc
2023-04-10,P01,1,AWD,80.65,48,15.3,5951.64,17.4,1.51,0.73,5861.676
2023-05-10,P02,1,MSD,82.9,64.9,16.4,7828.71,22.89,2.79,1.81,7610.234
2023-04-10,P03,1,CON,82.45,65.7,15,7968.47,23.3,1.16,0.76,7875.809
2023-05-10,P04,2,MSD,82.45,64.5,16.4,7822.92,22.87,2.79,1.8,7604.609
2023-04-10,P05,2,AWD,83.35,49,16.2,5878.82,17.19,2.56,1.25,5728.436
2023-05-10,P06,2,CON,82.675,60.4,14.7,7305.72,21.36,0.81,0.49,7246.25
2023-04-10,P07,3,MSD,80.875,67.9,15.5,8395.67,24.55,1.74,1.18,8249.236
2023-05-10,P08,3,CON,81.1,64.6,14.9,7965.47,23.29,1.05,0.68,7882.115
2023-04-10,P09,3,AWD,82.45,49.3,14.7,5979.38,17.48,0.81,0.4,5930.712
2023-05-10,P10,4,AWD,82.45,52.6,16.1,6379.62,18.65,2.44,1.28,6223.842
2023-04-10,P11,4,MSD,84.25,67.6,15.3,8023.74,23.46,1.51,1.02,7902.45
2023-05-10,P12,4,CON,82.45,69.1,13.9,8380.84,24.51,-0.12,-0.08,8390.582
2023-04-10,P13,5,MSD,83.8,68.9,15.1,8221.96,24.04,1.28,0.88,8116.792
2023-05-10,P14,5,AWD,83.8,51.2,15.8,6109.79,17.86,2.09,1.07,5981.906
2023-04-10,P15,5,CON,84.25,72.6,15.8,8617.21,25.2,2.09,1.52,8436.85
